ID,Empresa / Institución,Tipo de Empresa,Perfil de Inversionista,Correo Electrónico Verificado,Teléfono / WhatsApp Directo,Dirección / Oficina,Sitio Web Oficial,Notas Comerciales / Proyectos Activos
1,Inmobiliaria Camporeal,Inmobiliaria & Constructora,ALTO (Desarrollador Activo V Región),info@camporeal.cl / postventa@camporeal.cl,(32) 319 0302 / +56 233 849 910,"7 Norte 645 Of. 805, Viña del Mar",www.camporeal.cl,Proyectos activos: Parque Los Lirios (Villa Alemana) y Parque Las Palmas (Quilpué). Comprador natural para Peñablanca.
2,Codeh Desarrollo Habitacional,Inmobiliaria & Constructora (DS19 y Privado),ALTO (Especialista en Departamentos),info@codeh.cl / donasofia@codeh.cl,+56 32 268 4710 / +56 9 8861 7757,"Uno Norte 525 Local B, Viña del Mar",www.codeh.cl,Desarrollador de Condominio Doña Sofía en Quilpué. Buscan paños con factibilidad de agua aprobada por ESVAL.
3,La Cruz Inmobiliaria y Constructora S.A.,Inmobiliaria & Constructora,ALTO (Gran Presencia en V Región),contacto@lacruzinmobiliaria.cl,+56 32 250 8000 / Formulario Web,Oficina Regional Valparaíso / Viña del Mar,www.lacruzinmobiliaria.cl,"Desarrollos masivos en Villa Alemana, Quilpué, Limache y Quillota. Muy interesados en loteos y condominios."
4,Inmobiliaria Río Cochrane,Inmobiliaria Habitacional,MEDIO-ALTO (Proyecto Local Villa Alemana),contacto@riocochrane.cl,+56 9 7766 5432 / +56 2 2430 0000,Santiago & Oficina Ventas Villa Alemana,www.riocochrane.cl,Creadores del Condominio Paseo Los Almendros en Villa Alemana. Conocen perfectamente la plusvalía del sector.
5,MD2 Inmobiliaria,Inmobiliaria & Constructora,MEDIO-ALTO (Desarrollo Casas y Deptos),contacto@md2.cl,+56 9 6676 5678 / +56 32 290 0000,Viña del Mar / Limache,www.md2.cl,Proyectos habitacionales en Villa Alemana y Limache. Buscan terrenos con buena constructibilidad EX-H2.
6,Inmobiliaria Pocuro,Gran Constructora Nacional,ALTO (Macro-desarrollador Nacional),contacto@pocuro.cl,+56 600 600 5000 / (32) 251 9000,Oficina Central & Sucursal V Región,www.pocuro.cl,Construye grandes condominios de casas en la V Región y RM. Capacidad de compra al contado para $800M CLP.
7,Inmobiliaria Socovesa,Inmobiliaria Líder Nacional,ALTO (Fondo / Desarrollador Mayor),contacto@socovesa.cl,+56 2 2580 8000,"Av. Vitacura 2939, Las Condes, Santiago",www.socovesa.cl,Busca paños estratégicos para subdivisión o condominios modulares por etapas. Alta solvencia.
8,InvestChile (Agencia Estatal Inversión),Agencia Gubernamental Inversión Extranjera,INTERNACIONAL (Atractivo Fondos Extranjeros),info@investchile.gob.cl / contact@investchile.gob.cl,+56 2 2663 9200,"Av. Bernardo O'Higgins 1449 Torre 7 Piso 15, Santiago",www.investchile.gob.cl,"Canal directo para ofrecer el proyecto a fondos de inversión inmobiliaria de España, EE.UU. y Latinoamérica."
9,TOCTOC (Portal Inmobiliario & Inversión),Plataforma Tecnológica de Inversiones,TODOS (Inversionistas y Particulares),contacto@toctoc.com,+56 2 2840 2000,"Santiago, Chile",www.toctoc.com,Portal líder en Chile con sección especial de suelo e inversión. Indispensable para publicar el aviso de $800M.
10,PortalInmobiliario.com (Mercado Libre),Portal Inmobiliario N°1 de Chile,TODOS (Difusión Masiva Nacional),contacto@portalinmobiliario.com,+56 2 2659 2000,"Av. Apoquindo 4800, Las Condes, Santiago",www.portalinmobiliario.com,Plataforma principal donde buscan terrenos todas las inmobiliarias y corredores de Chile.
